z1,r1_high_cpu,r1_low_cpu,r1_fast,r1_slow,r2_high_cpu,r2_low_cpu,r2_fast,r2_slow
0.1,.46333333333333330800,.52000000000000000000,.46166666666666666000,.47388888888888889600,.85669934640522876000,.11311274509803921400,.39403594771241830000,.57577614379084967200
0.2,.47166666666666666600,.62000000000000000000,.52666666666666666000,.48444444444444448000,.74716288281505674000,.22575343836213402000,.38160034116555854800,.59131598001163220000
0.3,.45619047619047618200,.50000000000000000000,.46500000000000000000,.47222222222222222800,.67981004356004356000,.29163145413145413600,.37890827640827640800,.59253322128322130000
0.4,.49277777777777779000,.44500000000000000000,.50000000000000000000,.45611111111111112000,.58542483660130718000,.38652109328579916000,.41548128342245988000,.55646464646464646600
0.5,.45066666666666666000,.56000000000000000000,.52000000000000000000,.49555555555555553800,.40827103790518423400,.56590935487276950000,.41466054270932318600,.55951985006863054600
0.6,.50333333333333332600,.57333333333333335000,.56500000000000000000,.53222222222222220800,.37869397759103641200,.59401493930905698000,.41255952380952380000,.56014939309056956800
0.7,.51444444444444444000,.54857142857142856600,.51000000000000000000,.55722222222222222000,.28144208037825059000,.69374704491725768000,.34773049645390070000,.62745862884160756000
0.8,.49333333333333334000,.53875000000000000000,.56000000000000000000,.50944444444444445800,.16367543374576623000,.81152231515402868000,.40508484827538536800,.57011290062440956000
0.9,.22000000000000000000,.47185185185185183000,.50000000000000000000,.41111111111111110600,.05798319327731092600,.91225377507324768000,.40439840303937666800,.56583856531118198000
1.0,0,.47473333333333333200,.50916666666666668000,.45177777777777776000,0,.97052866052866052000,.43097020097020096800,.53955845955845958000
